English,French
abrasive,abrasif
aluminum,aluminium
bald,chauve
barbed,barbelé
bark,écorce
beaded,perlé
blunt,émousser
bony,osseux
brassy,cuivré
brick,brique
bristly,hérissé
brittle,fragile
broken,cassé
bubbly,pétillant
bumpy,cahoteux
callused,calleuse
canvas,Toile
ceramic,céramique
chalky,crayeux
clean,nettoyer
cloth,tissu
coarse,grossier
coated,recouvert
comfortable,confortable
corroded,corrodé
cotton,coton
cracked,fissuré
craterous,cratère
creamy,crémeux
crevices,crevasses
crinkled,froissé
crinkly,cryptable
crisp,croustillant
crumpled,froissé
crumbly,friable
crushed,écrasé
crusty,croustillant
cuddly,câlin
cushioned,coussiné
cushiony,coussin
cushy,coussin
delicate,délicat
dented,bosselé
disjointed,décousu
dusty,poussiéreux
etched,gravée
fabric,tissu
feathered,à plumes
felt,se sentait
fiberglass,fibre de verre
fibrous,fibreux
filmy,vaporeux
fine,bien
firm,raffermir
flabby,flasque
flannel,flanelle
flat,appartement
flimsy,fragile
fluffy,duveteux
fluid,fluide
foamy,mousseux
formica,formica
frayed,effiloché
frizzy,crépu
furry,velu
fuzzy,flou
gelatinous,gélatineux
glass,verre
glassy,vitreux
gluey,gluant
gnarled,noueux
gooey,gluant
goopy,NA
grainy,granuleux
granular,granulaire
gravelly,graveleux
greasy,graisseux
grimy,crasseux
grooved,rainuré
hairy,poilu
hard,difficile
harsh,dur
holey,poreux
icy,glacé
indestructible,indestructible
inflexible,inflexible
jagged,déchiqueté
knitted,tricoté
knobby,noueux
lacy,de dentelle
leather,cuir
limp,boiter
lubricated,Lubrifié
lumpy,grumeleux
matted,emmêlé
melted,fondu
metal,métal
metallic,métallique
muscular,musclé
mushy,détrempé
nonbreakable,incassable
nylon,nylon
oily,huileux
painted,peint
papery,parcheminé
pebbly,de galet
peeling,peeling
perforated,perforé
plastic,plastique
plush,peluche
pointy,Pointu
polished,brillant
powder,poudre
prickly,épineux
puffy,bouffi
ragged,en lambeaux
ribbed,côtelée
ridged,strier
rigid,rigide
rippled,ondulé
rocky,rocheux
rough,rugueux
rubbery,caoutchouteux
rugged,robuste
rust,rouille
sandy,sablonneux
satiny,satiné
scaly,écailleux
scratchy,rêche
scrunchy,croquant
sequined,pailleter
serrated,cranté
sharp,tranchant
shiny,brillant
silky,soyeux
sleek,lisse
slick,nappe
slimy,visqueux
slippery,glissant
smooshy,doux
smooth,lisse
soft,doux
soggy,détrempé
solid,solide
spiky,à pointe
spongy,spongieux
squeezable,NA
squishy,spongieuse
starched,empesé
steel,acier
stiff,rigide
stubbly,hérisser
suede,suède
tender,tendre
textured,texturé
thorny,épineux
tin,étain
tough,dure
varnished,verni
velour,velours
velvety,velouté
wafflish,NA
waxy,cireux
wooden,en bois
woolly,laineux
woven,tisser
